,Coupon,Restauarant ID,Start Date,End Date,Orders with Discount,Discounted Orders Revenue ,Discount Spend,Average Order Value (Discounted Orders),New User Orders ,Returning User Orders,Dormant User Orders
54,FLAT150,444423.0,2023-01-01 00:00:00,2023-01-15 00:00:00,3.0,879.0,450.0,293.0,2.0,1.0,0.0
55,CITIFOODIE,4780.0,2023-01-01 00:00:00,2023-01-29 00:00:00,1.0,1572.0,35.0,1572.0,0.0,1.0,0.0
56,APOLOGY150,600278.0,2023-01-04 00:00:00,2023-02-03 00:00:00,0.0,,0.0,,0.0,0.0,0.0
57,AUDC100,180801.0,2023-01-01 00:00:00,2023-01-31 00:00:00,0.0,,0.0,,0.0,0.0,0.0
58,AUDC100,231392.0,2023-01-01 00:00:00,2023-01-31 00:00:00,0.0,,0.0,,0.0,0.0,0.0
59,AXIS200,313834.0,2023-01-16 00:00:00,2023-01-31 00:00:00,0.0,,0.0,,0.0,0.0,0.0
60,AXISFKNEW,180801.0,2022-09-24 00:00:00,2022-03-08 00:00:00,0.0,,0.0,,0.0,0.0,0.0
61,COMEBACK150,4780.0,2023-01-23 00:00:00,2023-02-22 00:00:00,0.0,,0.0,,0.0,0.0,0.0
62,COMEBACK150,180801.0,2023-01-23 00:00:00,2023-02-22 00:00:00,0.0,,0.0,,0.0,0.0,0.0
63,ICICINB100,4780.0,2023-01-03 00:00:00,2023-01-29 00:00:00,0.0,,0.0,,0.0,0.0,0.0
64,ICICINB100,180801.0,2023-01-03 00:00:00,2023-01-29 00:00:00,0.0,,0.0,,0.0,0.0,0.0
65,INDUSIND20,180801.0,2023-01-01 00:00:00,2023-01-29 00:00:00,1.0,640.0,-50.0,640.0,0.0,1.0,0.0
66,INDUSIND100,4780.0,2023-01-12 00:00:00,2023-01-27 00:00:00,1.0,500.0,-60.0,500.0,1.0,0.0,0.0
67,UBICC100,180801.0,2023-01-05 00:00:00,2023-01-31 00:00:00,1.0,443.0,-68.0,443.0,0.0,1.0,0.0
68,AUCC100,180801.0,2023-01-01 00:00:00,2023-01-31 00:00:00,2.0,1070.0,-117.0,535.0,1.0,1.0,0.0
